Country,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3
GRC,0.575928,1.69888,1.603507,0.958918,1.196731,0.435342,0.321135,0.80192,0.787511,0.890007,0.374556,1.600013,0.374477,0.927402,1.912093,1.427764,1.183643,-0.228786,1.635668,0.231324,0.846064,2.241143,0.560803,0.780368,2.104623,1.757993,0.612247,2.145353,1.829398,-0.047531,1.329635,-0.402819,-0.532727,0.200224,1.405751,0.520599,3.226134,0.340865,0.470008,2.545922,-0.817608,2.953327,-0.625175,-0.5262,0.626908,-0.628613,-0.105735,-1.377856,-4.737648,2.745962,-0.753314,0.160152,-1.613823,-3.103286,-3.522471,-1.178568,-2.87831,-1.541845,-2.052733,-3.983268,-1.088271,-1.801395,-1.235396,-0.062553,-2.190932,0.077086,0.444509,-0.603671,0.833146,-0.178124,1.240776,-1.314465,0.316274,0.188044,-1.56397,1.620473,-0.618119,-0.371356,0.597215,-0.481561,0.667731,0.800129,0.309671
USA,0.762181,1.50858,1.273317,0.775943,0.989418,0.969858,1.3082,1.641532,0.798501,0.824709,1.258522,1.735819,0.290173,1.888771,0.120278,0.5684,-0.28436,0.530084,-0.316255,0.277527,0.920791,0.551728,0.48683,0.063655,0.517995,0.927929,1.674776,1.169225,0.575066,0.733017,0.908936,0.864359,1.065957,0.522119,0.84008,0.571525,1.20139,0.298815,0.089434,0.782715,0.061779,0.764918,0.672588,0.356911,-0.682601,0.496372,-0.479264,-2.112984,-1.38552,-0.135374,0.326835,0.968056,0.432846,0.966036,0.674932,0.630112,-0.386237,0.72745,0.210773,1.125786,0.663452,0.466809,0.119688,0.022444,0.699572,0.191591,0.771682,0.975569,-0.230202,1.131234,1.278177,0.500071,0.799915,0.678405,0.405191,0.121203,0.144758,0.554824,0.687922,0.436711,0.307511,0.756334,0.779804
LUX,1.562285,2.065198,2.286236,0.302693,1.297057,2.46349,1.535429,0.452143,2.56055,2.656519,3.522796,0.677798,5.217093,-1.148454,1.432726,0.422661,2.011941,-1.988108,1.124826,2.787646,0.852775,1.890755,-1.026146,-0.34199,-0.838697,2.589374,0.38548,2.602409,-0.357193,0.432031,1.143802,1.279331,-0.46727,1.216136,1.967714,0.411824,2.292076,0.026608,1.292107,2.146809,3.644411,2.528071,0.636363,0.026414,0.225214,-1.175526,-1.207427,-3.928558,-0.67698,-1.344328,1.470055,1.563969,1.508768,1.916143,0.070635,0.898461,1.713406,-0.857487,0.817311,-0.449329,-1.228903,1.360805,-0.36323,0.704144,1.454778,2.156441,1.301055,-3.011073,5.77021,-1.388433,3.28505,2.070076,0.968134,-1.081803,-1.235144,2.167674,-0.121464,2.580203,0.39226,1.299665,-0.459414,0.703347,1.650476
ISR,0.997387,0.793291,-0.189475,1.9412,1.397628,0.030343,0.811224,0.845341,-0.966868,4.343923,0.381888,2.045479,2.181072,3.024432,3.057143,-0.302325,-1.13396,-0.510089,-1.038838,-0.563329,0.345813,0.557974,0.109109,-0.315076,1.163509,-0.289636,0.811069,0.370605,2.281884,1.153459,1.173762,1.315607,0.557305,1.001173,1.268516,1.662225,1.895653,1.634417,-0.742347,1.845588,1.988648,1.830821,1.776342,1.289958,0.707895,0.234345,0.203909,-0.586708,0.06216,0.891331,1.19143,1.323327,1.497239,1.528442,0.923927,1.435864,1.558176,1.244588,1.634709,0.423387,-0.008306,0.033305,1.011927,0.950872,1.057177,1.679864,0.907759,0.562036,0.908186,0.80123,0.481905,1.513302,0.550654,0.020613,0.358254,1.046606,1.097795,1.333505,1.032008,1.164762,0.247636,0.662773,0.860782
SWE,0.595645,1.256314,0.99717,1.688937,0.239724,1.622056,0.524932,1.117662,1.495596,0.330167,1.007479,1.831222,0.717389,2.176692,0.857107,0.265252,-0.240696,0.442744,0.607054,0.599238,-0.036784,1.37864,0.191607,0.456661,1.193746,-0.409706,1.361488,0.619726,1.532673,0.727206,0.864083,0.819544,0.124847,1.053573,0.949931,0.664851,1.949016,1.154453,1.312805,0.577024,0.85526,0.73091,0.763659,1.300364,-1.342663,0.195161,-0.213741,-3.727657,-2.516007,0.052329,0.070768,0.570603,2.371203,2.181479,1.275945,1.824674,-0.100527,0.300051,0.966581,-1.676758,0.417251,0.666561,-0.084984,-0.47516,1.176306,-0.353179,0.680874,0.815457,0.701756,0.774263,0.392347,1.359935,1.008556,0.948766,1.491545,1.307462,0.259736,0.501069,0.503042,0.515504,0.460653,1.155523,0.762348
DEU,-0.601504,1.412131,0.386146,0.711036,0.801559,-0.321501,0.264946,-0.022983,0.801568,0.216596,1.046534,1.249574,0.93956,1.013441,-0.141768,0.076452,1.634062,0.085889,-0.289637,0.118342,-0.308947,0.258706,0.473059,-0.214017,-1.211775,0.021715,0.499232,0.367172,-0.024217,0.344379,-0.182331,0.096709,-0.193215,0.666803,0.811965,0.381525,0.931645,1.600411,0.998661,1.304792,0.409987,0.741557,0.845511,0.276194,0.877946,-0.273035,-0.361787,-1.933268,-4.48549,0.07334,0.596736,0.915806,0.734704,2.047503,0.812597,0.835905,1.766414,0.174556,0.474351,0.019263,0.315472,0.096022,0.230234,-0.449841,-0.221136,0.886494,0.506207,0.408634,0.880174,-0.168876,0.319522,0.889928,0.11143,0.445179,0.32318,0.423379,0.632392,0.464473,0.33542,0.415611,0.890767,0.633202,0.824172
GBR,1.445824,1.071744,0.595896,1.225969,0.553375,0.586111,0.731457,1.041937,0.601674,0.069484,1.754532,1.415516,0.932267,0.718705,0.296207,0.209705,1.011225,0.827337,0.643667,0.328934,0.48239,0.717083,0.80506,0.94518,0.621308,0.906033,0.997355,0.778028,0.518162,0.42199,0.230553,0.362973,0.846976,1.09408,1.05606,1.466883,0.263276,0.202545,0.079269,0.364815,0.90199,0.715878,0.66214,0.803908,0.272135,-0.676134,-1.601041,-2.1765,-1.598255,-0.225247,0.155207,0.266714,0.537963,0.899862,0.464112,0.072204,0.587025,0.148105,0.38061,0.190045,0.646495,-0.106714,1.151033,-0.145046,0.63845,0.540582,0.850366,0.518907,0.858979,0.85298,0.761145,0.761225,0.342599,0.574813,0.416545,0.725824,0.211581,0.47589,0.540971,0.748308,0.295536,0.304515,0.386034
CAN,1.319449,1.126081,1.194758,0.958433,1.402205,0.043497,0.927627,1.350892,1.812465,0.839816,1.55773,1.421416,1.596,1.191249,1.010155,0.178002,0.520403,0.25811,-0.07571,0.613057,1.48979,0.570013,0.873704,0.553905,0.550926,-0.148371,0.376953,0.685699,0.720986,1.182448,1.188855,0.717907,0.34102,0.71192,1.230669,0.990403,0.801518,0.048258,0.2779,0.377221,0.646596,0.965139,0.415515,0.140063,0.059284,0.346965,0.834166,-1.156561,-2.284863,-1.103413,0.452511,1.181288,1.191352,0.51419,0.714111,1.130483,0.739355,0.189951,1.387897,0.790139,0.031895,0.330094,0.197213,0.121961,1.030501,0.648283,0.819389,1.007924,0.124445,1.198742,0.728305,0.454239,-0.200196,-0.144694,0.565491,0.103924,0.616329,-0.262077,1.051286,0.555037,0.908418,1.046835,0.424273
ISL,0.773053,0.181,1.098718,-0.174784,0.023783,7.214611,0.373308,3.316617,-0.053097,-2.728757,2.295089,2.025761,0.975997,-0.322859,3.805545,-0.185909,-1.286124,3.696338,-0.263242,3.642303,-5.953117,3.403378,0.690285,1.545589,0.936075,-2.845664,2.509411,0.02689,5.980493,-1.787138,3.872356,3.427948,-3.521711,5.86681,3.285259,-0.463198,-0.685802,2.213874,1.108114,2.980982,-0.027261,3.820788,3.302298,5.035949,-3.818937,-1.324534,-0.04808,1.651372,-8.142039,0.985079,0.322002,0.002379,-5.60683,0.621485,0.721145,3.462151,-2.991488,0.643476,2.427706,0.953352,-0.79319,-1.466563,2.222158,0.215943,2.097719,-0.265761,1.719319,2.384903,-2.256102,0.328523,4.243101,-1.97527,2.341509,2.223877,-2.085666,2.475848,0.823813,4.56139,2.029306,2.476105,-1.40766,-1.696795,2.220909
KOR,0.593567,3.450609,0.781035,-0.562712,-7.022342,-0.648084,1.517303,2.339715,3.04318,4.517302,2.602457,2.991074,1.700056,1.46065,2.870641,-0.747609,0.95041,1.550677,1.522912,1.432986,2.31042,2.007175,1.937701,0.901539,-0.68474,0.018653,1.618451,2.570217,1.278554,0.687245,0.31188,0.585353,0.789344,1.849261,1.341676,0.991401,1.813501,0.553998,1.643197,0.646814,1.661665,1.61518,1.104841,1.923413,0.469677,0.497236,0.853314,-3.335256,0.095851,1.457818,2.842337,0.427146,2.209127,1.736918,0.989358,1.014242,0.972161,0.624912,0.723323,0.592207,0.601314,0.49049,0.361853,0.648706,0.673153,0.990023,0.851836,0.922688,1.033767,0.621925,0.668343,0.417472,0.842624,0.414165,1.261044,0.696234,0.502782,0.90449,0.474749,0.507872,1.062394,0.597968,1.534782
