"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.593567,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q2",3.450609,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.781035,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q4",-0.562712,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q1",-7.022342,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q2",-0.648084,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.517303,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q4",2.339715,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q1",3.04318,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q2",4.517302,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q3",2.602457,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q4",2.991074,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.700056,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.46065,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q3",2.870641,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.747609,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q1",0.95041,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q2",1.550677,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.522912,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.432986,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q1",2.31042,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q2",2.007175,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q3",1.937701,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.901539,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q1",-0.68474,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.018653,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.618451,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q4",2.570217,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",1.278554,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.687245,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.31188,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.585353,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.789344,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.849261,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.341676,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.991401,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.813501,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.553998,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.643197,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.646814,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.661665,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",1.61518,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.104841,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",1.923413,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.469677,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.497236,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.853314,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.335256,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.095851,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.457818,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.842337,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.427146,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",2.209127,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.736918,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.989358,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.014242,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.972161,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.624912,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.723323,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.592207,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.601314,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.49049,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.361853,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.648706,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.673153,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.990023,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.851836,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.922688,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",1.033767,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.621925,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.668343,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.417472,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.842624,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.414165,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.261044,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.696234,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.502782,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.90449,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.474749,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.507872,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.062394,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.597968,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.534782,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.597205,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q2",2.971803,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.124758,
"AUS","QGDP","TOT","PC_CHGPP","Q","1997-Q4",1.381258,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.780634,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.943989,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.904958,
"AUS","QGDP","TOT","PC_CHGPP","Q","1998-Q4",1.513686,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.71108,
"AUS","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.372818,
